Template,Title,Category
"<p>Hi {name}, <br/><br/>I am writing in hopes of finding the appropriate person who handles multicultural media. I also wrote to Person x, Person Y and Person Z in that pursuit. If it makes sense to talk, let me know how your calendar looks? <br/><br/>VoodooVox helps increase the revenues of Fortune 500 companies by marketing to Hispanics. Each month we reach 25 million Spanish speakers with an audio message they must hear. We insert 30-second audio and SMS advertisements into phone calls made on calling cards. The benefit to users is they make their call free. The benefit for our clients is they can increase store revenue by providing text message coupons. Typical redemption is 3%. You can measure results online and with store sales. Advertisements can target specific ethnic groups and geographies. Some clients include Burger King, P&amp;G, and Chili's. <br/><br/>If you are the appropriate person to speak with, what does your calendar look like? If not, who do you recommend I talk to?</p> <p>Hi {name}, <br/><br/>I am writing in hopes of finding the appropriate person who handles online advertising? I also wrote to Quinn XXXX, Kristy XXXX and Rob XXXX in that pursuit. If it makes sense to talk, let me know how your calendar looks? <br/><br/>AroundYou helps increase the revenues and exposure of local companies by marketing directly to targeted and local traffic. Each month we reach over 240,000 Australians thru our site by profiling events, activities, and things to do. We profile companies thru our featured listings, iPhone App, and targeted Google advertising. The benefit to users is that they can search their area free. The benefit for our clients is they can increase revenue and exposure by utilizing the featured listings and targeted traffic. You can measure results and statistics online. Your listing will target specific suburbs and postcodes. Some clients include The Herald Sun, Leader Community Newspapers, The State Theatre and The Art Gallery of NSW. <br/><br/>If you are the appropriate person to speak with, what does your calendar look like? If not, who do you recommend I talk to?</p> <p>I am doing some research on ________ to determine if there is a need for KISSmetrics’ person-based web analytics platform. Could you please help by pointing me to the appropriate person there that may have an interest in a brief discussion? <br/><br/>For context – here is a short infographic introducing you to KISSmetrics. <br/><br/>{infographic} <br/><br/>In advance, thank you for your help.</p>",Appropriate person,Cold Email Templates
"<p>I’ll be honest, this is not “another sales pitch” from Sales Instead, I’d like to send you a 2-minute demo video of Gainsight’s Customer Success Management solution:</p> <p><br/>We are VC backed ($9M Series A) by Battery Ventures and our key customers include Marketo, DocuSign, Xactly, Jive, Informatica, YouSendIt, etc. One of our core value props is “Success for All” and we would like to offer everyone a 1-on-1 with our Customer Success experts to simply discuss best practices (reducing churn, structuring your customer-focused team, increasing up-sells, etc).</p> <p><br/>Who is the best person to speak with about Customer Success? Let us know if there’s someone else who heads up those efforts.</p> <p>Hi Eric, <br/><br/>I understand you are the CEO at Single Grain, and given that our customers used to use similar technology, a chat may be beneficial. <br/><br/>In short, we've created the sales automation salespeople have been craving by shoring up the shortcomings, filling in the blindspots, and reliving the frustrations of current solutions. The difference is obvious - see for yourself. <br/><br/>Are you available for a brief chat this week or Monday/Tuesday of next week? <br/><br/>Thanks <br/><br/>P.S. Feel free to compare us with others [link to comparison page]. We want you to :)</p>",Who wants a Customer Success 1-on-1?,Cold Email Templates
"<p>Hey {name}, Here are some commonalities between Yesware and TOPO: <br/><br/></p> <p>Most importantly, we're focused on driving results. Customers like Twitter, Acquia, and The Financial Times have seen a 25% growth in new business using our product. Customers choose our sales technology to accelerate their sales efforts. <br/><br/>Let's explore how we can work together to help your customers share the same experience our customers have had since using Yesware. I can also share with you some more customer success stories and why our market-leading product is chosen by high-growth sales teams. <br/><br/>When is the best time for you to connect? I would be more than happy to facilitate an introduction to Mike if that's preferred by you. <br/><br/>Cheers, <br/>{name} <br/><br/>P.s.: it looks like your session title is TBD. If there is any data/information I can help provide you to strengthen your presentation, please let me know.</p>",Looks like we have plenty of things in common...,Researched Outreach Email Templates
"<p>Hi {Prospect's first name}, <br/><br/>I recently came across {blog post title} that you/your company wrote/shared/posted on {social media platform}. {Topic of blog post} seems like an interest that we share. In fact, {one sentence comment on/reaction to blog post}. <br/><br/>I work for {your company} and we {your company's value proposition}. {Referral} recommended I reach out to you with ideas on how to solve [problem your product addresses]. I'd love to get some time on your calendar to discuss these ideas and {topic of blog post}. Are you available for a 10/30/60 minute call on {date}? <br/><br/>I look forward to talking soon.</p>",Introduction: {Your first name} <> {Prospect's first name},Researched Outreach Email Templates
"<p>{name}, <br/><br/>I read in the WSJ yesterday that you're expecting to receive FDA approval for a new ulcerative colitis drug in the next few months. When that finally does happen, you're going to want to get it into the market quickly. We recently helped another pharma company slash their packaging delivery time from 18 days down to just four days. <br/><br/>You can read how we did it at: <a href=""http://www.packco.com/casestudy"">www.packco.com/casestudy.</a><br/>you be interested in a quick conversation next Tuesday? Let me know a time that might work for you.</p>",Question about upcoming product launch,Researched Outreach Email Templates
"<p>Hey {name}, <br/><br/>Been a huge fan of your site since it first went up. Noticed you've been running several experiments to grow your email lists. <br/><br/>Here are a few lesser-used strategies that drive explosive growth: <br/><br/>- Members only bonus area: You offer a lot of juicy bonuses to entice new signups. There doesn't seem to be a way for existing members to also receive them right now. Think creating a members-only bonus area where existing subscribers can go to download your latest goodies would go long ways to build their long-term loyalty.- Behavior settings on your opt-in box: Noticed your opt-in box still pops up for people who already subscribed. You can use a much longer-lasting cookie to stop it from annoying your existing subscribers. <br/><br/>I've been coding for the last several years with a focus on building viral growth engines. I recently coded all the backend for RoyalSee's pre-launch campaign: [link]. They got 10K signups in 2 weeks. <br/><br/>Happy to lend a hand with future projects - let me know what you think.</p>",A few other experiments you can run to grow your email list,Researched Outreach Email Templates
"<p>{name}, <br/><br/>You did an excellent job speaking at the recent 21st Century B2B Culture event - you have great understanding of social business. Do you see social business working being effective in B2C? <br/><br/>I had a few ideas on how it could work in B2C that are related to your recent book (which I read). I help B2C SMBs use the internet to bring their business to the national market. <br/><br/>What’s the easiest way to get 10 minutes on your calendar Thursday to share how our market expertise can be mutually beneficial?</p> <p>Hi {name}, I noticed you guys don't have a commenting widget on your site. It's actually something my company Wigeto provides e-magazines for free to boost engagement. When you have a few minutes, I'd love to talk to you or the appropriate person about taking care of that.</p> <p>I noticed on your website that XYZ is a customer. Congrats on getting traction with such an established brand, which is undeniably no small feat for an early-stage startup. I know from speaking with other founders that many, if not all, find it challenging to developing a repeatable selling process in a way that feels natural, comfortable, and authentic without sounding “salesy”. The impact – inaction. Lack of a predictable pipeline and sales. In the past year, we’ve worked with companies like ABC and def to help them close more deals in less time without selling their soul and was thinking we might be able to help XYZ in this area as well. <br/><br/>I’m not sure if this is a fit for you folks, but if you’d like to learn more would you be open to carving out some time to explore? <br/><br/><em>Alternate ending:</em> If you’d like I can send you a 2 minute demo so you can evaluate.</p>",New partnership?,Researched Outreach Email Templates
"<p>Hi {name}, I understand you may currently be using Pardot as a marketing tool, and I was wondering if you’re experiencing any difficulty with it. Pardot users often find that they need a more scalable solution as their business grows, and as a result, we’ve seen many customers switch to Marketo in recent months. These customers see immediate increases of 30-100% in productivity and a dramatic increase in leads – purely because they get much more capability in an easier-to-use package. <br/><br/>Why are Pardot users switching? Marketo removes the limitations that held them back – some of the major benefits that these customers have experienced with Marketo include: A much more productive, intuitive, and flexible interface for creating marketing campaigns (ranked #1 for user experience by independent analysts) Ability to quickly report on pipeline, revenue, and ROI by a marketing campaign or channel Flexible lead scoring – which includes scoring models by product line or division, and automatic score reductions when your leads are inactive Drastically improved ability to leverage lead intelligence solutions inside your CRM For a limited time, we are also offering special pricing packages to make switching incredibly easy and attractive. <br/><br/>Please reply to this email or click here if you’d like to set up a time to talk about whether Marketo makes sense for your business. Or, learn more here.</p>","{name}, is your marketing automation tool working for you?",Researched Outreach Email Templates
"<p>{name}, <br/><br/>I just read your interview in Mark-It News where you mentioned your company's plans to expand your franchise operations by 35%.In the past year, we've worked with three other franchisors to drive significant traffic to their newly opened locations. On a comparative basis, same-store sales in the three months were up between 17 – 23% over previous launches. <br/><br/>Would you be interested in learning how we did this? I’m available next Thursday, May 6th. Give me a time, and I’ll give you the details.</p>",Question about company plan to expand,Researched Outreach Email Templates
"<p>{name}, <br/><br/>Terry Fisher told me today that you two were talking about how tough it is these days to get new leads in the door. It's a big issue that all consulting companies face right now. <br/><br/>After looking at your website and registering for your white paper, I have some thoughts regarding where you may be losing people in the process. And, I've got some ideas you can implement fairly easily that should have a positive impact on lead conversion rates. <br/><br/>Let’s schedule 30 minutes to talk some more about this.</p>",Terry Fisher says you’re interested in better lead gen strategies,Referral Outreach Sales Email Templates
"<p>I would love to connect with you at some point and learn more about Converto. <br/><br/>Would be great to have a conversation around the websites we crawl that are adding and dropping your competitors like Adometry. <br/><br/>Best, <br/>Jason</p> <p>Hi Ravi, <br/><br/>The article you shared on LinkedIn yesterday addresses a challenge that I've heard two sales directions mention this week. Your unique perspective would be beneficial for them to hear. <br/><br/>We help sales execs improve their reps success with a similar approach. Do you have 5 mins to speak on Wednesday or Thursday afternoon this week?</p>",(when connecting),LinkedIn Outreach InMail Templates
"<p>Hi {name}, <br/><br/>I was looking to get introduced to Johnny Dealmaker from Project X and saw you were connected to him. Not sure how well you’re connected to him, but if the relationship is strong, I’d really appreciate an intro to chat about ways to work with my Project Y. <br/><br/>Please let me know if you feel comfortable doing this and I’ll forward over a proper request for introduction that you can forward to him.</p> <p>Hey {name},</p> <p>Was hoping that you might be able to introduce me to Johnny Dealmaker at Project X? <br/><br/>I wanted to connect with him because our email list targets a similar demographic with limited overlap. Seeing as our products are non-competitive, I wanted to touch base to see if he was up for brainstorming ways to leverage our existing user bases to grow both of our lists. <br/><br/>We did this with Company R in the past, and both parties received a 15% lift in new subscribers. <br/><br/>Any help is much appreciated.</p>",Intro?,LinkedIn Outreach InMail Templates
"<p>{name}, is the below of any interest to you?</p> <p>Hi {name}, <br/><br/>I didn't hear back from you last week when I was looking for the appropriate person to manage your [statement]. That's not a problem. <br/><br/>If it makes sense to talk, let me know how your calendar looks. If not, who is the appropriate person?</p>",Re: [same subject],Follow Up Sales Templates
"<p>Hi {name}, After sending my last email, I got really excited and wanted to share some ideas I had on how Starbucks could leverage Twilio: </p> <p>The possibilities are really endless. <br/><br/>I'd love to chat with you further about how other companies are using us, as well as chat more about how we can help foster Starbucks' future innovative ventures. <br/><br/>What's the best way for me to get 15 minutes on your calendar?</p>",5 Ideas for Starbucks using Twilio,Follow Up Sales Templates
"<p>Hi {name}, <br/><br/>I just wanted to circle back on my email below re: getting you a comments widget for your site. Are you free for a quick call on Monday or Tuesday?Across similar size partners, we’re seeing an average increase of 1 minute on site with the addition of our widget.</p> <p>Hey {name}, how is it going? Can we schedule a time to talk this week?</p>",Re: [same subject],Follow Up Sales Templates
"<p><span>Hi {name},</span><br/><br/><span>I really enjoyed our phone conversation [or meeting] earlier today and especially liked learning about your unique role at {company}. I understand the challenges you are facing with [challenges discussed] and the impact they are having on [insert personal impact].</span><br/><br/><span>As promised, I have attached [or linked to] the resources and materials that can help you better understand how we can help you solve [insert compelling reason to buy].</span><br/><br/><span>Please let me know if you have any questions. Otherwise, I look forward to talking with you again on [date and time].</span></p>",Re: [same subject],Follow Up Sales Templates
"<p><span>Great speaking with you today, {name}! I'm glad we agree {MyCompany} would be a great fit for your team. Here are the top value adds we went over:</span><br/><span>{Special}</span><br/><br/><span>{Special}</span><br/><br/><span>Resources for Review:</span><br/><span>X</span><br/><span>Y</span><br/><span>Z</span><br/><br/><span>Action Items:</span><br/><span>{Special}P.S. {Special} — use this opportunity to link to case studies or third-party content your prospect may enjoy</span></p>",{MyCompany} Call Summary,Follow Up Sales Templates
"<p><span>Hi {name},</span><br/><br/><span>Have you come across the “Information Security Community?”Check the group out: [link to Linkedin Group]</span><br/><br/><span>From our last discussion, this group looks to be filled with your target prospects that could ensure you reach your Q4 sales target. Some of the challenges expressed in the group are problems your team helps solve.</span><br/><br/><span>What’s the best way to get on your calendar for 15 tomorrow? I’ll show you the playbook on how to drive revenue from this group.</span></p> <p><span>Hi {name},</span><br/><br/><span>I have tried to get in touch with you to see if there is a mutual fit between our companies expertise and your goals around [statement].</span><br/><br/><span>If you are not interested or there is another person you would like me to follow up with, please let me know.</span><br/><br/><span>Would it make sense to invest 5-10 minutes to determine if there is a mutual fit between your [statement] and our expertise?</span><br/><br/><span>If not, who do you recommend I talk to?</span></p>",Re: [same subject],Follow Up Sales Templates
"<p><span>Hi {name},</span><br/><br/><span>Just wanted to send you an example of how we’re working with [competitor X and Y] to deliver this solution. Check it out here [link to example].</span><br/><br/><span>So far feedback has been extremely positive. Would love to get you guys up and running too when you have a few minutes.</span></p>",[competitor X and Y],Follow Up Sales Templates
"<p><span>Drop me a note if you caught the email below {name}; I know you're a busy man!</span><br/><br/><span>I'd love to talk a little bit more about {mycompany}, yourself, and any ways in which we can be collaborating. A phone call / Skype would be a pleasure.</span><br/><br/><span>Hope you had an excellent weekend,</span></p> <p><span>Hey {name}, we got some new press coverage [link]. I’d love to pick up on our conversation. When’s a good time to chat?</span></p>",Re: [same subject],Follow Up Sales Templates
"<p><span>{name}, I'm writing to follow up. I'm not sure what our next step is.Let me know what makes sense as a next step, if any?</span><br/><br/><span>Thanks for your input.</span></p>",Next step?,Follow Up Sales Templates
"<p><span>Hi {name},</span><br/><br/><span>I first want to apologize that we haven’t been able to connect recently. I feel like somewhere along the way I must have made it difficult to communicate or dropped the ball because for a while there it seemed like you guys were really excited about our offering. Apologies if this was the case.</span><br/><br/><span>I just want to open back the communication lines and let you know that I know you have a lot on your plate and if this is something that is no longer a priority, that’s totally cool – in fact as a startup, I completely understand! If nothing else, I’d enjoy the opportunity to hear what’s new on your end and maybe even get some feedback on how we can improve our offering.</span><br/><br/><span>Let me know if you have a few minutes next week to hop on a call.</span></p> <p><span>Drop me a note if you caught this {name}. Would love to chat some more about your sales / provide any assistance I can there. Discussing your plans for [your area of expertise] (even if it's just advice I can pass on!) would be great too.</span><br/><br/><span>Hope you're having an excellent start to the week.</span></p> <p><span>Hey {name}, can we hop on a quick call Wednesday 4pm or Thursday 11am?</span><br/><br/><span>Cheers,</span><br/><span>Name</span><br/><br/><span>PS: thought you might find this article interesting [link]</span></p> <p><span>{name},</span><br/><br/><span>When we spoke, I thought that I understood _______, but you haven't responded. Did I misunderstand or has something changed?</span></p>",Re: [same subject],Follow Up Sales Templates
"<p><span>Hi {name},</span><br/><br/><span>Sorry I missed you on the phone today. I was calling because [explain your purpose].</span><br/><br/><span>My voicemail said I will try you again on [date and time] and you can always reach me before at [phone number].</span></p>",Sorry I missed you,Follow Up Sales Templates
"<p><span>{name},</span><br/><br/><span>I just tried giving you a call and left a voicemail. [call to action].Please give me a call back at {XXX-XXX-XXXX}, or send me a note if you get the chance.</span><br/><br/><span>Thank you!</span></p>",Just Tried Your Line,Follow Up Sales Templates
"<p>Hey {name}, <br/><br/>Haven't heard back from you. Thank you for the opportunity. Can I put it on hold for now?</p>",Re: {same subject},Break Up Sales Templates
"<p>{name} - I wanted to reach out to you one more time regarding _______. If I don't hear back from you, I’ll assume that the timing isn’t right and I won’t contact you again. <br/><br/>If I can be of assistance, you can always contact me at the number below.</p>",Thanks from {company},Break Up Sales Templates
"<p>{name}, <br/><br/>We are in the process of closing files for the month. Typically when I haven’t heard back from someone it means they’re either really busy or aren’t interested. If you aren’t interested, do I have your permission to close your file?If you’re still interested, what do you recommend as a next step? <br/><br/>Thanks for your help.</p>",Permission to close your file?,Break Up Sales Templates
"<p>Hi {name}, <br/><br/>I know we haven’t been able to connect, which usually means one of two things: Either the timing may not be right or you no longer have a need. <br/><br/>In either case, I want to respect your time so I’m going to go ahead and close your file. <br/><br/>Otherwise, if you would still like to talk, please call me to discuss next steps. <br/><br/>Thanks again.</p>",Thanks from [company],Break Up Sales Templates
"<p>Hi {name}, <br/><br/>I’ve reached out a few times regarding your sales prospecting strategies there at {company}. My guess is that we’re out of touch for one of three reasons: <br/>- You don’t see a fit <br/>- You have another solution to create predictable outbound prospecting numbers <br/>- You are secretly a superhero and have been too busy fighting crime to reply <br/><br/>If any of these are correct then they may be the exact reason why we should talk now…</p>",Re: [same subject],Break Up Sales Templates
"<p>{name}, <br/><br/>I reached out previously regarding {what you do} and haven't heard back from you yet.This tells me a few things: <br/>• You're being chased by a T-rex and haven't had time to respond. <br/>• You're interested but haven't had time to respond. <br/>• You aren't interested.Whichever one it is, please let us know as we're getting worried!</p>",Are you ok?,Break Up Sales Templates
"<p>Hi {name}, <br/><br/>I’ve tried to reach you a few times to go over suggestion on improving ___, but haven’t heard back which tells me one of three things: <br/>1)  You’re all set with ____ and I should stop bothering you. <br/>2)  You’re still interested but haven’t had the time to get back to met yet. <br/>3)  You’ve fallen and can’t get up and in that case let me know and I’ll call someone to help you...Please let me know which one as I’m starting to worry!</p>",Re: [same subject],Break Up Sales Templates
"<p>Hi {name}, <br/><br/>I know you’re busy. Just give me a 1, 2, or 3 — <br/><br/>1. We’ll pass on partnering with EVENT NAME this year, thanks for the offer! <br/><br/>2. We’re interested in the event, but it’s not a good time, reach back out to me in 1 month. <br/><br/>3. I’m interested — let’s talk! <br/><br/>Thanks!</p>",Should I stay or should I go?,Break Up Sales Templates
"<p>Hey {name}, <br/><br/>Hope you are well. SalesGuy here, with SalesLoft (sales intelligence tool you are testing). <br/><br/>Would you like to connect for me to show you the ins and outs of our software? We would love for you to start Lofting at expert level in no time! How about sometime later this week? <br/><br/>Cheers!</p>",SalesLoft Walkthrough,Trial Sales Templates
"<p>Hi Ryan, <br/><br/>Akoma with SalesLoft; I hope you’re doing well. I wanted to reach out and see if a prospecting tool such as SalesLoft might be on your radar? I’d love to learn a little bit more about your lead generation at Attach. <br/><br/>I’d be happy to take you through a high-level overview of our solution and show you some effective ways to find accurate and relevant leads, quickly add them to a list, discover emails and phone numbers, and push that data to your CRM. <br/><br/>Do you have some time Friday or Monday? If so, propose a few times (timezone included).</p>","Lets get you lofting, Ryan",Trial Sales Templates
"<p>Hi Ryan, <br/><br/>I wanted to reach out one last time and see if Attach has thought any more about implementing SalesLoft? <br/><br/>I would be happy to chat and answer any questions, do you have some time Friday or Monday.</p>",Any thoughts?,Trial Sales Templates
"<p>Hi Ryan, <br/><br/>Thanks for setting up your KISSmetrics account! Are you available for a quick chat to discuss KISSmetrics best practices to make sure you are getting the most out of your trial period? <br/><br/>Please let me know when you are next available and we can schedule a call.</p>",Let's Talk KISSmetrics!,Trial Sales Templates
<p>John - my name is Tyler and I'm the CEO of Clever. My company has developed new technology that reduces the time spent doing SIS integrations by 80%. <br/><br/>I figured this might be of interest to you given the new middle school reading software Scholastic just released. <br/><br/>I'd love to get your feedback even if you're not in the market for this right now. Do you have 20 minutes this week? It looks like I'm open Tuesday at 1 or 2pm ET if either may work. <br/><br/>Tyler</p>,,Startup Sales Templates
"<p>Hi FNAME,<br/><br/>I'm a first time entrepreneur and I just started to build my product. I'm looking for experts in this space and several of my friends pointed me in your direction. So I was hoping you could give me your feedback before I spent too much time building something that nobody wants :)<br/><br/>Here's my idea: I have a crawler that crawls millions of websites daily and can see who started a free trial with Mixpanel almost instantly. Do you think information like that would be valuable for somebody like KISSmetrics or I'm just wasting my time here?<br/><br/>Thanks in advance!<br/><br/>-ilya</p>",Looking for advice,Startup Sales Templates
,Re: [same subject],Other Sales Email Templates
"<p>No worries... the short answer is no, we aren't able to compete on price against FooCorp.<br/><br/>The FooCorps of the world have spent a couple of decades now in a race to the bottom and it shows. I have no doubt you can get their product (or a whole raft of others) for a few bucks cheaper than us.<br/><br/>Our product, Acme, is different. We're designed to help improve your company's performance in the critical area of XYZ. The ROI on doing that is enormous.<br/><br/>Now, not every organization sees the value in investing in XYZ. I get that. But if yours does, Acme is one of the most leveraged investments you can make.<br/><br/>Assume HelloSign does 5-6 transactions in the [XYZ field], that's going to run 300-600k per year (so figure this is a $1-2MM investment over 3 years). The value of each transaction will be maybe 2-5x that if they're done well, whereas a bad one we know can actually destroy value.<br/><br/>On the cost side, great transactions churn over at less than half the rate of low-performing ones - which means if you do a better job at XYZ, you'll save 10's of thousands in new transaction costs as they stay longer. And on and on....<br/><br/>So ultimately if you think Acme will help you do this better - even just a little bit - the whole thing is peanuts. The cost difference between our product and the others, even less.<br/><br/>Look, FooCorp's customers are switching to Acme in droves because we're investing heavily in great customer service and innovation. Those things cost money but, as we see above, they drive tons of value so the market is happy to pay.<br/><br/>We'd love to have HelloSign on board as a customer and I'd be happy to have another chat with you or them if you think it would be useful. Let me know!</p>",Subject: Re: demo follow up,Other Sales Email Templates
"<p class=""card-body"">{name}, <br/><br/>I’d like to discuss your lead gen efforts. We’re helping other {industry} companies collect their prospects straight from professional social networks and import them directly into their CRM (adding phone numbers and email addresses). <br/><br/>Quick question: can you put me in touch with whoever is responsible for new prospecting and revenue-generating tools at {company}?</p>",How to import targeted professional social network leads straight into your {company} CRM,Sequence Sales Email Templates
"<p class=""card-body"">{name}, <br/><br/>Predictable Revenue author, Aaron Ross recently wrote this article: How Email Marketing Company WhatCounts Added an Extra 26% To Their New Sales Growth Rate In One Year (+ Their Favorite Sales App: SalesLoft). <br/><br/>I’d love to help you uncover whether you could do the same. How about a short call so I can understand your revenue objectives at {company} for {enter timeframe}?</p>",Re: [same subject],Sequence Sales Email Templates
"<p class=""card-body"">{name}, <br/><br/>I have tried to reach out a few times over the past week to go over your lead generation / prospecting strategies at {company}. I have not heard back from you and this tells me a few things: <br/><br/>1) You are all set with your current prospecting / lead gen strategies at{company}, and if that is the case please let me know so I will stop bothering you. <br/><br/>2) You are interested but have not had the time to respond. <br/><br/>3) You are being chased by a hippo and need me to call for help. <br/><br/>Please let me know which one it is as I am beginning to worry... <br/><br/>Thanks and I look forward to hearing from you.</p>",Re: [same subject],Sequence Sales Email Templates
"<p>Hi Drew, <br/><br/>My name is Jerry and I am the founder of Shipping Company. We work with organizations like Sears and Target to hold FedEx and UPS accountable. We track all your shipments, identify those which have been delivered late, and file claims on your behalf. You only pay when packaging tracking is credited to your account. <br/><br/>What would be the best way to get 15 minutes on your calendar to explore if this would be valuable to Company? <br/><br/>Cheers, <br/>Jerry</p>",,Sequence Sales Email Templates
"<p class=""card-body"">Hi Drew, <br/><br/>I'm sorry to trouble you again. At my company, Shipping Company, we give you real time visibility of all shipments, identify those which have been delivered late, and obtain package tracking on your behalf. <br/><br/>You pay for performances so if we don't save you money we don't get paid. Who would be the person to speak to about this at Company? <br/><br/>Thanks, <br/>Jerry</p>",Re: [first subject],Sequence Sales Email Templates
"<p>Hi Drew, <br/><br/>Wanted to make sure you got my earlier message. I'd like to learn about the pains of package tracking at Company. If you are the appropriate person to speak with, what does your calendar look like earlier next week? If not, who do you recommend I walk to? <br/><br/>- Jerry</p>",Re: [same subject],Sequence Sales Email Templates
,Appropriate person,Sequence Sales Email Templates
"<p>{name}, <br/><br/>I am doing some research on your company to determine if there is (or is not) a need for [insert your strongest pain point]. <br/><br/>Could you please help me by pointing me to the best person there for a brief discussion?</p>",Looking for best [insert job area where you'd like to start] contact,Sequence Sales Email Templates
